Job_Title,Avg_Salary_K
Staff Scientist,60.5
RESEARCH SCIENTIST - BIOLOGICAL SAFETY,60.0
Corporate Risk Data Analyst (sql_ Based) - Milwaukee or,60.0
Information Security Data Analyst,60.0
System and Data Analyst,59.0
Radar Data Analyst,59.0
Data Engineering Analyst,58.5
MED TECH/LAB SCIENTIST- SOUTH COASTAL LAB,56.5
Financial Data Analyst,56.5
MED TECH/LAB SCIENTIST - LABORATORY,56.5
Data Scientist - Research,56.5
Jr. Business Data Analyst,56.5
ENVIRONMENTAL ENGINEER/SCIENTIST,55.0
Food Scientist - Developer,54.0
IT Associate Data Analyst,54.0
Business Data Analyst,53.5
"Assistant Director/Director, Office of Data Science",53.0
CONSULTANT– DATA ANALYTICS GROUP,52.5
R&D Specialist/ Food Scientist,52.5
Digital Marketing & ECommerce Data Analyst,51.5
Data Modeler - Data Solutions Engineer,51.5
Medical Lab Scientist - MLT,51.5
Associate Environmental Scientist - Wildlife Biologist,51.0
Junior Data Analyst,50.0
"Data Analyst 1, full-time contract worker for up to 12 months",50.0
Marketing Data Analyst,48.666666666666664
Clinical Data Analyst,48.5
E-Commerce Data Analyst,48.0
Data Management Specialist,48.0
Lead Data Analyst,47.0
Supply Chain Data Analyst,47.0
Associate Data Analyst- Graduate Development Program,45.5
Medical Laboratory Scientist,44.5
Foundational Community Supports Data Analyst,44.5
Market Data Analyst,44.0
Analytics - Business Assurance Data Analyst,43.0
Medical Lab Scientist,42.0
Medical Technologist / Clinical Laboratory Scientist,41.5
Data Analytics Manager,40.5
Project Scientist,39.5
Associate Data Analyst,38.5
"Senior Operations Data Analyst, Call Center Operations",27.5
